# Signatures of the rmw implementation contract — ROS 2 Humble.
# name<TAB>return<TAB>params<TAB>header. Parameter NAMES ARE KEPT;
# the COMPARISON drops them (`rmw_abi_shape.strip_param_names`),
# because a renamed argument is not an ABI difference and reporting
# one trains people to skim — while a page that shows our named
# slots beside upstream's bare types reads as though upstream
# declared them nameless. Regenerate in the distrobox:
#   scripts/rmw-api-inventory.py --signatures \
#     > docs/reference/rmw-implementation-signatures.txt
# format: 2 (parameter names kept; strip them to compare)
rmw_allocate	void *	size_t size	allocators.h
rmw_message_info_sequence_init	rmw_ret_t	rmw_message_info_sequence_t * sequence, size_t size, rcutils_allocator_t * allocator	message_sequence.h
rmw_message_sequence_fini	rmw_ret_t	rmw_message_sequence_t * sequence	message_sequence.h
rmw_message_sequence_init	rmw_ret_t	rmw_message_sequence_t * sequence, size_t size, rcutils_allocator_t * allocator	message_sequence.h
rmw_names_and_types_check_zero	rmw_ret_t	rmw_names_and_types_t * names_and_types	names_and_types.h
rmw_names_and_types_fini	rmw_ret_t	rmw_names_and_types_t * names_and_types	names_and_types.h
rmw_names_and_types_init	rmw_ret_t	rmw_names_and_types_t * names_and_types, size_t size, rcutils_allocator_t * allocator	names_and_types.h
rmw_namespace_validation_result_string	const char *	int validation_result	validate_namespace.h
rmw_network_flow_endpoint_array_check_zero	rmw_ret_t	const rmw_network_flow_endpoint_array_t * network_flow_endpoint_array	network_flow_endpoint_array.h
rmw_network_flow_endpoint_array_fini	rmw_ret_t	rmw_network_flow_endpoint_array_t * network_flow_endpoint_array	network_flow_endpoint_array.h
rmw_network_flow_endpoint_array_init	rmw_ret_t	rmw_network_flow_endpoint_array_t * network_flow_endpoint_array, size_t size, rcutils_allocator_t * allocator	network_flow_endpoint_array.h
rmw_network_flow_endpoint_get_internet_protocol_string	const char *	const rmw_internet_protocol_t internet_protocol	network_flow_endpoint.h
rmw_network_flow_endpoint_get_transport_protocol_string	const char *	const rmw_transport_protocol_t transport_protocol	network_flow_endpoint.h
rmw_network_flow_endpoint_set_internet_address	rmw_ret_t	rmw_network_flow_endpoint_t * network_flow_endpoint, const char * internet_address, size_t size	network_flow_endpoint.h
rmw_node_allocate	rmw_node_t *		allocators.h
rmw_node_assert_liveliness	RCUTILS_DEPRECATED_WITH_MSG( "rmw_node_assert_liveliness implementation was removed." " If manual liveliness assertion is needed, use MANUAL_BY_TOPIC.") rmw_ret_t	const rmw_node_t * node	rmw.h
rmw_node_free	void	rmw_node_t * node	allocators.h
rmw_node_get_graph_guard_condition	const rmw_guard_condition_t *	const rmw_node_t * node	rmw.h
rmw_node_name_validation_result_string	const char *	int validation_result	validate_node_name.h
rmw_publish	rmw_ret_t	const rmw_publisher_t * publisher, const void * ros_message, rmw_publisher_allocation_t * allocation	rmw.h
rmw_publish_loaned_message	rmw_ret_t	const rmw_publisher_t * publisher, void * ros_message, rmw_publisher_allocation_t * allocation	rmw.h
rmw_publish_serialized_message	rmw_ret_t	const rmw_publisher_t * publisher, const rmw_serialized_message_t * serialized_message, rmw_publisher_allocation_t * allocation	rmw.h
rmw_publisher_allocate	rmw_publisher_t *		allocators.h
rmw_publisher_assert_liveliness	rmw_ret_t	const rmw_publisher_t * publisher	rmw.h
rmw_publisher_count_matched_subscriptions	rmw_ret_t	const rmw_publisher_t * publisher, size_t * subscription_count	rmw.h
rmw_publisher_event_init	rmw_ret_t	rmw_event_t * rmw_event, const rmw_publisher_t * publisher, rmw_event_type_t event_type	event.h
rmw_publisher_free	void	rmw_publisher_t * publisher	allocators.h
rmw_publisher_get_actual_qos	rmw_ret_t	const rmw_publisher_t * publisher, rmw_qos_profile_t * qos	rmw.h
rmw_publisher_get_network_flow_endpoints	rmw_ret_t	const rmw_publisher_t * publisher, rcutils_allocator_t * allocator, rmw_network_flow_endpoint_array_t * network_flow_endpoint_array	get_network_flow_endpoints.h
rmw_publisher_wait_for_all_acked	rmw_ret_t	const rmw_publisher_t * publisher, rmw_time_t wait_timeout	rmw.h
rmw_qos_durability_policy_from_str	rmw_qos_durability_policy_t	const char * str	qos_string_conversions.h
rmw_qos_durability_policy_to_str	const char *	rmw_qos_durability_policy_t value	qos_string_conversions.h
rmw_qos_history_policy_from_str	rmw_qos_history_policy_t	const char * str	qos_string_conversions.h
rmw_qos_history_policy_to_str	const char *	rmw_qos_history_policy_t value	qos_string_conversions.h
rmw_qos_liveliness_policy_from_str	rmw_qos_liveliness_policy_t	const char * str	qos_string_conversions.h
rmw_qos_liveliness_policy_to_str	const char *	rmw_qos_liveliness_policy_t value	qos_string_conversions.h
rmw_qos_policy_kind_from_str	rmw_qos_policy_kind_t	const char * str	qos_string_conversions.h
rmw_qos_policy_kind_to_str	const char *	rmw_qos_policy_kind_t kind	qos_string_conversions.h
rmw_qos_profile_check_compatible	rmw_ret_t	const rmw_qos_profile_t publisher_profile, const rmw_qos_profile_t subscription_profile, rmw_qos_compatibility_type_t * compatibility, char * reason, size_t reason_size	qos_profiles.h
rmw_qos_reliability_policy_from_str	rmw_qos_reliability_policy_t	const char * str	qos_string_conversions.h
rmw_qos_reliability_policy_to_str	const char *	rmw_qos_reliability_policy_t value	qos_string_conversions.h
rmw_return_loaned_message_from_publisher	rmw_ret_t	const rmw_publisher_t * publisher, void * loaned_message	rmw.h
rmw_return_loaned_message_from_subscription	rmw_ret_t	const rmw_subscription_t * subscription, void * loaned_message	rmw.h
rmw_security_options_copy	rmw_ret_t	const rmw_security_options_t * src, const rcutils_allocator_t * allocator, rmw_security_options_t * dst	security_options.h
rmw_security_options_fini	rmw_ret_t	rmw_security_options_t * security_options, const rcutils_allocator_t * allocator	security_options.h
rmw_security_options_set_root_path	rmw_ret_t	const char * security_root_path, const rcutils_allocator_t * allocator, rmw_security_options_t * security_options	security_options.h
rmw_send_request	rmw_ret_t	const rmw_client_t * client, const void * ros_request, int64_t * sequence_id	rmw.h
rmw_send_response	rmw_ret_t	const rmw_service_t * service, rmw_request_id_t * request_header, void * ros_response	rmw.h
rmw_serialize	rmw_ret_t	const void * ros_message, const rosidl_message_type_support_t * type_support, rmw_serialized_message_t * serialized_message	rmw.h
rmw_service_allocate	rmw_service_t *		allocators.h
rmw_service_free	void	rmw_service_t * service	allocators.h
rmw_service_request_subscription_get_actual_qos	rmw_ret_t	const rmw_service_t * service, rmw_qos_profile_t * qos	rmw.h
rmw_service_response_publisher_get_actual_qos	rmw_ret_t	const rmw_service_t * service, rmw_qos_profile_t * qos	rmw.h
rmw_service_server_is_available	rmw_ret_t	const rmw_node_t * node, const rmw_client_t * client, bool * is_available	rmw.h
rmw_service_set_on_new_request_callback	rmw_ret_t	rmw_service_t * service, rmw_event_callback_t callback, const void * user_data	rmw.h
rmw_set_log_severity	rmw_ret_t	rmw_log_severity_t severity	rmw.h
rmw_shutdown	rmw_ret_t	rmw_context_t * context	init.h
rmw_subscription_allocate	rmw_subscription_t *		allocators.h
rmw_subscription_content_filter_options_copy	rmw_ret_t	const rmw_subscription_content_filter_options_t * src, const rcutils_allocator_t * allocator, rmw_subscription_content_filter_options_t * dst	subscription_content_filter_options.h
rmw_subscription_content_filter_options_fini	rmw_ret_t	rmw_subscription_content_filter_options_t * options, const rcutils_allocator_t * allocator	subscription_content_filter_options.h
rmw_subscription_content_filter_options_init	rmw_ret_t	const char * filter_expression, size_t expression_parameters_argc, const char * expression_parameter_argv[], const rcutils_allocator_t * allocator, rmw_subscription_content_filter_options_t * options	subscription_content_filter_options.h
rmw_subscription_content_filter_options_set	rmw_ret_t	const char * filter_expression, size_t expression_parameters_argc, const char * expression_parameter_argv[], const rcutils_allocator_t * allocator, rmw_subscription_content_filter_options_t * options	subscription_content_filter_options.h
rmw_subscription_count_matched_publishers	rmw_ret_t	const rmw_subscription_t * subscription, size_t * publisher_count	rmw.h
rmw_subscription_event_init	rmw_ret_t	rmw_event_t * rmw_event, const rmw_subscription_t * subscription, rmw_event_type_t event_type	event.h
rmw_subscription_free	void	rmw_subscription_t * subscription	allocators.h
rmw_subscription_get_actual_qos	rmw_ret_t	const rmw_subscription_t * subscription, rmw_qos_profile_t * qos	rmw.h
rmw_subscription_get_content_filter	rmw_ret_t	const rmw_subscription_t * subscription, rcutils_allocator_t * allocator, rmw_subscription_content_filter_options_t * options	rmw.h
rmw_subscription_get_network_flow_endpoints	rmw_ret_t	const rmw_subscription_t * subscription, rcutils_allocator_t * allocator, rmw_network_flow_endpoint_array_t * network_flow_endpoint_array	get_network_flow_endpoints.h
rmw_subscription_set_content_filter	rmw_ret_t	rmw_subscription_t * subscription, const rmw_subscription_content_filter_options_t * options	rmw.h
rmw_subscription_set_on_new_message_callback	rmw_ret_t	rmw_subscription_t * subscription, rmw_event_callback_t callback, const void * user_data	rmw.h
rmw_take	rmw_ret_t	const rmw_subscription_t * subscription, void * ros_message, bool * taken, rmw_subscription_allocation_t * allocation	rmw.h
rmw_take_event	rmw_ret_t	const rmw_event_t * event_handle, void * event_info, bool * taken	event.h
rmw_take_loaned_message	rmw_ret_t	const rmw_subscription_t * subscription, void * * loaned_message, bool * taken, rmw_subscription_allocation_t * allocation	rmw.h
rmw_take_loaned_message_with_info	rmw_ret_t	const rmw_subscription_t * subscription, void * * loaned_message, bool * taken, rmw_message_info_t * message_info, rmw_subscription_allocation_t * allocation	rmw.h
rmw_take_request	rmw_ret_t	const rmw_service_t * service, rmw_service_info_t * request_header, void * ros_request, bool * taken	rmw.h
